Gene	ID	Count
BAK1	1059	4
BAMBI	1060	7
BANF1	1061	9
BANF2	1062	1
BANP	1063	44
BAP1	1064	5
BARD1	1065	11
BARHL1	1066	14
BARHL2	1067	16
BARX2	1068	3
BASP1	1069	32
BAT1	1070	9
BAT2	1071	6
BAT2L1	1072	29
BAT2L2	1073	11
BAT3	1074	6
BAT4	1075	7
BAT5	1076	5
BATF	1077	8
BATF3	1078	7
BAX	1079	5
BAZ1B	1080	23
BAZ2A	1081	17
BAZ2B	1082	17
BBS10	1083	2
BBS12	1084	5
BBS2	1085	10
BBS4	1086	26
BBS5	1087	4
BBS7	1088	7
BBS9	1089	25
BBX	1090	26
BCAM	1091	2
BCAN	1092	11
BCAP29	1093	14
BCAP31	1094	4
BCAR1	1095	9
BCAR3	1096	52
BCAS1	1097	17
BCAS2	1098	4
BCAS3	1099	47
BCAS4	1100	38
BCAT1	1101	12
BCAT2	1102	9
BCCIP	1103	4
BCDIN3D	1104	5
BCKDHA	1105	14
BCKDHB	1106	32
BCKDK	1107	11
BCL10	1108	6
BCL11A	1109	24
BCL11B	1110	37
BCL2	1111	126
BCL2L1	1112	5
BCL2L11	1113	14
BCL2L12	1114	8
BCL2L13	1115	24
BCL2L2	1116	2
BCL3	1117	11
BCL6	1118	13
BCL6B	1119	12
BCL7A	1120	4
BCL7B	1121	7
BCL7C	1122	5
BCL9L	1123	4
BCLAF1	1124	5
BCMO1	1125	8
BCNT2	1126	8
BCOR	1127	16
BCORL1	1128	14
BCR	1129	86
BCS1L	1130	6
BDH1	1131	12
BDH2	1132	5
BDKRB1	1133	10
BDKRB2	1134	6
BDNF	1135	15
BDP1	1136	7
BECN1	1137	4
BEGAIN	1138	23
BEND2	1139	3
BEND3	1140	16
BEND4	1141	13
BEND5	1142	29
BEND7	1143	11
BEST1	1144	2
BEST2	1145	7
BEST3	1146	6
BEST4	1147	5
BET1	1148	4
BET1L	1149	8
BET3L	1150	7
BEX2	1151	9
BEX5	1152	5
BFAR	1153	14
BFSP1	1154	6
BFSP2	1155	10
BGN	1156	3
BHLHB2	1157	6
BHLHB9	1158	5
BHLHE23	1159	12
BHLHE41	1160	14
BICC1	1161	12
BICD1	1162	32
BICD2	1163	15
BID	1164	8
BIN1	1165	17
BIN2	1166	2
BIN3	1167	6
BIRC3	1168	13
BIRC5	1169	6
BIRC6	1170	18
BIRC7	1171	2
BLADQB	1172	6
BLCAP	1173	16
BLES03	1174	6
BLK	1175	4
BLM	1176	18
BLMH	1177	11
BLNK	1178	6
BLOC1S1	1179	13
BLOC1S2	1180	4
BLOC1S3	1181	3
BLVRA	1182	9
BLVRB	1183	5
BLZF1	1184	1
BMF	1185	4
BMP1	1186	21
BMP2	1187	11
BMP3	1188	5
BMP4	1189	14
BMP5	1190	6
BMP6	1191	51
BMP7	1192	17
BMP8B	1193	11
BMPER	1194	17
BMPR2	1195	5
BMS1	1196	11
BMX	1197	15
BNC1	1198	6
BNC2	1199	46
BNIP1	1200	13
BNIP2	1201	6
BNIP3	1202	11
BNIP3L	1203	13
BNIPL	1204	2
BOC	1205	2
BOD1L	1206	22
BOK	1207	12
BoLA	1208	4
BOLA	1209	10
BOLA1	1210	13
BOLA3	1211	13
BOLADOB	1212	6
BOLADRB2	1213	8
BoLADRB3	1214	4
BOLAN	1215	5
BOLANC1	1216	4
BOLL	1217	11
BOP1	1218	13
BOSTAUV1R409	1219	1
BOSTAUV1R412	1220	1
BOSTAUV1R425	1221	2
BOSTAUV1R426	1222	7
BOSTAUV1R428	1223	5
BOSTAUV1R434	1224	2
BOTAT2R10B	1225	1
BPGM	1226	10
BPI	1227	18
BPIL1	1228	13
BPIL2	1229	11
BPNT1	1230	6
BPTF	1231	13
BRAF	1232	31
BRAP	1233	24
BRCA1	1234	2
BRCC3	1235	3
BRD2	1236	9
BRD3	1237	29
BRD4	1238	21
BRD7	1239	21
BRD8	1240	4
BRD9	1241	16
BRE	1242	50
BREH1	1243	15
BRI3	1244	10
BRI3BP	1245	12
BRIX1	1246	9
BRMS1L	1247	14
BRP44	1248	4
BRP44L	1249	6
BRPF1	1250	8
BRPF3	1251	22
BRSK1	1252	25
BRSK2	1253	27
BRUNOL4	1254	136
BRUNOL6	1255	6
BRWD1	1256	22
BRWD3	1257	10
BSCL2	1258	10
BSDC1	1259	4
BSG	1260	9
BSPRY	1261	6
BST1	1262	7
BST2	1263	4
BSX	1264	8
BTAF1	1265	11
BTBD1	1266	16
BTBD11	1267	10
BTBD12	1268	14
BTBD16	1269	12
BTBD19	1270	8
BTBD3	1271	24
BTBD6	1272	8
BTBD7	1273	19
BTBD8	1274	4
BTBD9	1275	39
BTC	1276	11
BTD	1277	15
BTF3	1278	5
BTF3L4	1279	8
BTG1	1280	8
BTG2	1281	4
BTG3	1282	6
BTK	1283	6
BTN1A1	1284	2
BTN2A2	1285	9
BTNL2	1286	4
BTNL9	1287	1
BTRC	1288	21
BUB1	1289	7
BUB1B	1290	15
BUB3	1291	12
BUD13	1292	12
BUD31	1293	7
BYSL	1294	5
BZRAP1	1295	15
BZW1	1296	10
BZW2	1297	2
C10H11ORF46	1298	10
C10H14ORF1	1299	2
C10H14ORF166	1300	4
C10H14ORF169	1301	1
C10H14orf179	1302	21
C10H14orf37	1303	9
C10H14orf38	1304	11
C10H14ORF93	1305	12
C10H15orf23	1306	4
C10H15orf24	1307	5
C10H15orf41	1308	37
C10H15orf43	1309	8
C10H15orf44	1310	15
C10orf107	1311	4
C11H2orf39	1312	5
C11H2orf42	1313	11
C11H2orf56	1314	2
C11H2ORF64	1315	5
C11H2ORF7	1316	5
C11H9ORF116	1317	10
C11H9ORF142	1318	2
C11H9orf16	1319	2
C11H9ORF78	1320	6
C11H9ORF9	1321	3
C11HXORF26	1322	4
C12H13orf16	1323	12
C12H13ORF26	1324	8
C12H13orf27	1325	7
C12H13orf30	1326	5
C12orf10	1327	8
C13H10ORF38	1328	11
C13H10ORF97	1329	2
C13H20ORF108	1330	8
C13H20ORF11	1331	8
C13H20ORF118	1332	8
C13H20ORF12	1333	6
C13H20orf135	1334	3
C13H20orf195	1335	6
C13H20ORF27	1336	4
